@relation code_style

@attribute instanceID {program1.js,code2.js,program.js,problem_c.js,codejam.js,problemC.js,code.js,pancakes.js,proba.js,problemA.js,index.js,standing_ovation.js,dijkstra1.js,dijkstra.js,index2.js,probc1.js,so.js,code1.js,problem_b.js,code3.js,probb.js,standing_ovation1.js,problemB.js,so1.js,problemA1.js,index1.js,index3.js,pc3.js}
@attribute log(numFunctions/length) numeric
@attribute log(numTokens/length) numeric
@attribute log(numComments/length) numeric
@attribute log(numLiterals/length) numeric
@attribute log(numReservedWords/length) numeric
@attribute avgLineLength numeric
@attribute log(numEmptyLines/length) numeric
@attribute whiteSpaceRatio numeric
@attribute avgParams numeric
@attribute stdDevLineLength numeric
@attribute log(numMacros/length) numeric
@attribute tabsLeadLines {TRUE, FALSE}
@attribute log(numTabs/length) numeric
@attribute log(numSpaces/length) numeric
@attribute stdDevNumParams numeric
@attribute log(numIf/length) numeric
@attribute log(numElif/length) numeric
@attribute log(numElse/length) numeric
@attribute log(numSwitch/length) numeric
@attribute log(numTernary/length) numeric
@attribute log(numFor/length) numeric
@attribute log(numWhile/length) numeric
@attribute log(numDo/length) numeric
@attribute newLineBeforeOpeningBrace {TRUE, FALSE}
@attribute nestingDepth numeric
@attribute branchingFactor numeric
@attribute author {azenyem,mwsam,dobuki,dushanr,entertainyou,vskarine,jimbly}

@data
dijkstra1.js,-4.583333491378917,-0.8371289706457111,-7.109062135687172,-4.666715100317968,-5.404314043448747,26.177777777777777,-5.237259958785581,3.645305514157973,0.24,27.358353498937753,-7.802209316247118,FALSE,-Infinity,-1.4868513147247828,0.7088018058667741,-7.802209316247118,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,5,2.7777777777777777,azenyem
pancakes.js,-5.145703966039664,-1.308736126774016,-5.225746673713201,-5.312758050702831,-5.631211781821365,25.571428571428573,-5.764743174445888,4.708860759493671,0.46153846153846156,21.468851031805368,-7.710653323501202,FALSE,-Infinity,-2.0304807144841344,0.9294650748918901,-6.612041034833092,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,9,1.5,azenyem
standing_ovation.js,-5.132262782217954,-1.1619708686658323,-6.048553514092109,-4.256794044864054,-5.132262782217954,23.91176470588235,-4.949941225423999,4.731843575418995,0.8,19.979942364426712,-6.741700694652055,FALSE,-Infinity,-1.8588987720656835,1.16619037896906,-6.741700694652055,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,1.25,azenyem
problemA.js,-5.222156005582472,-0.9594761285411573,-Infinity,-4.018183201256536,-5.222156005582472,25.476190476190474,-4.711330381816482,3.808219178082192,0.0,22.613984395710393,-Infinity,FALSE,-Infinity,-1.5085839388781648,0.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.320768294250582,-Infinity,-Infinity,FALSE,4,1.0,vskarine
problemC.js,-4.934074172981455,-0.7909394465899217,-6.725833642209509,-4.457150100891145,-5.627221353541399,19.341463414634145,-4.779923493154196,2.368371212121212,0.1111111111111111,16.089096074440107,-Infinity,FALSE,-Infinity,-1.2057069473603996,0.31426968052735443,-Infinity,-Infinity,-Infinity,-Infinity,-7.824445930877619,-7.824445930877619,-Infinity,-Infinity,FALSE,6,2.0,vskarine
problemB.js,-4.8641097895742185,-0.9001270452153612,-7.061334366910438,-4.663439094112067,-5.269574897682382,19.839285714285715,-4.758749273916392,2.9444444444444446,0.4444444444444444,17.79624437277456,-Infinity,FALSE,-Infinity,-1.451862571725478,0.6849348892187751,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.061334366910438,-Infinity,-Infinity,FALSE,5,1.8,vskarine
problemA1.js,-5.222156005582472,-0.9594761285411573,-Infinity,-4.018183201256536,-5.222156005582472,25.476190476190474,-4.711330381816482,3.808219178082192,0.0,22.613984395710393,-Infinity,FALSE,-Infinity,-1.5085839388781648,0.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.320768294250582,-Infinity,-Infinity,FALSE,4,1.0,vskarine
program.js,-5.337538079701318,-0.8266785731844679,-Infinity,-3.8906190967649925,-4.932072971593153,18.8,-4.421247347827163,3.7818181818181817,0.0,21.433851730382013,-Infinity,TRUE,-3.3565366108347345,-2.0417012136969888,0.0,-6.030685260261263,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,5,1.25,dushanr
program1.js,-5.337538079701318,-0.8266785731844679,-Infinity,-3.8906190967649925,-4.932072971593153,18.8,-4.421247347827163,3.7818181818181817,0.0,21.433851730382013,-Infinity,TRUE,-3.3565366108347345,-2.0417012136969888,0.0,-6.030685260261263,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,5,1.25,dushanr
problem_c.js,-4.951223704374756,-1.0109090563255185,-Infinity,-4.5902103588374255,-6.294958451075851,29.259615384615383,-5.042195482580483,3.842789598108747,0.0,34.642680210396016,-Infinity,TRUE,-3.6208098016493215,-2.0754507458997438,0.0,-6.294958451075851,-Infinity,-Infinity,-Infinity,-8.086717920303906,-6.988105631635795,-Infinity,-Infinity,FALSE,17,1.8235294117647058,dushanr
problem_b.js,-5.422303346329028,-0.7664400460254184,-Infinity,-4.259152536523347,-5.239981789535073,20.64,-4.546834608975128,3.639871382636656,0.0,23.751008399644846,-Infinity,TRUE,-3.29407164047976,-1.919753470406585,0.0,-6.338594078203183,-Infinity,-Infinity,-Infinity,-Infinity,-5.9331289700950185,-Infinity,-Infinity,FALSE,6,1.2857142857142858,dushanr
code2.js,-5.014740332064131,-0.9300163678290125,-5.920448954607749,-5.430900729289043,-6.379981283986189,25.71698113207547,-5.368380372307709,3.4280871670702178,0.2553191489361702,21.178288418104014,-Infinity,FALSE,-5.253970021129965,-1.458784552537174,0.8113053602101115,-Infinity,-Infinity,-Infinity,-Infinity,-8.86488793377419,-Infinity,-8.86488793377419,-Infinity,FALSE,20,1.7666666666666666,dobuki
code.js,-5.031031922003901,-1.059026211974045,-6.042632833682381,-4.65633847256249,-5.637167725574217,26.62295081967213,-5.231702617466053,3.8623853211009176,0.09090909090909091,20.209690853830924,-Infinity,FALSE,-3.8180092821580476,-1.7385677404782116,0.28747978728803447,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.428927194802272,-Infinity,FALSE,4,1.5714285714285714,dobuki
code1.js,-5.031031922003901,-1.059026211974045,-6.042632833682381,-4.65633847256249,-5.637167725574217,26.62295081967213,-5.231702617466053,3.8623853211009176,0.09090909090909091,20.209690853830924,-Infinity,FALSE,-3.8180092821580476,-1.7385677404782116,0.28747978728803447,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.428927194802272,-Infinity,FALSE,4,1.5714285714285714,dobuki
code3.js,-5.865388288978476,-1.5960238950684373,-6.076697382645683,-5.4441748239021726,-6.830469185022063,23.442244224422442,-5.246349080572252,2.7517651430694907,0.14285714285714285,17.683385134496785,-Infinity,FALSE,-5.298992814057675,-2.158809257765139,0.46656947481584343,-Infinity,-Infinity,-Infinity,-Infinity,-8.909910726701899,-Infinity,-8.909910726701899,-Infinity,FALSE,4,2.090909090909091,dobuki
